gameId,target,speaker1,speaker2,group1,group2,sameGroup,similarity,window,metric
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78M7563R5D9TQE5G142DA,01KJN79Y7T0VZNKHTSJRZWTDZ5,C,B,0,0.5306696891784668,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN78JVY5FN5QXW9XGGE72RG,B,A,0,0.8797136545181274,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN79ZDP3YNFFHHQA302PJDP,B,C,0,0.6408076286315918,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN788SPAKVVBHX9T9FDQWAF,B,B,1,0.8645842671394348,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN791EPN054R2NTQQ1BFXJ5,B,A,0,0.8558185696601868,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN796KT7FCNV2F9QNCQDSES,B,C,0,0.6788186430931091,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN78B0TFR8F59JDGD057XNS,B,A,0,0.7186527848243713,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN78M7563R5D9TQE5G142DA,B,C,0,0.13117200136184692,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,0.4666757583618164,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78JVY5FN5QXW9XGGE72RG,01KJN79ZDP3YNFFHHQA302PJDP,A,C,0,0.7195068597793579,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78JVY5FN5QXW9XGGE72RG,01KJN788SPAKVVBHX9T9FDQWAF,A,B,0,0.7788982391357422,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78JVY5FN5QXW9XGGE72RG,01KJN791EPN054R2NTQQ1BFXJ5,A,A,1,0.8873116970062256,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78JVY5FN5QXW9XGGE72RG,01KJN796KT7FCNV2F9QNCQDSES,A,C,0,0.8106857538223267,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78JVY5FN5QXW9XGGE72RG,01KJN78B0TFR8F59JDGD057XNS,A,A,1,0.803613543510437,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78JVY5FN5QXW9XGGE72RG,01KJN78M7563R5D9TQE5G142DA,A,C,0,0.12681549787521362,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78JVY5FN5QXW9XGGE72RG,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.43431979417800903,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN79ZDP3YNFFHHQA302PJDP,01KJN788SPAKVVBHX9T9FDQWAF,C,B,0,0.5616595149040222,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN79ZDP3YNFFHHQA302PJDP,01KJN791EPN054R2NTQQ1BFXJ5,C,A,0,0.649294376373291,phase1_final,first_phrase
