gameId,target,blockNum,playerId,originalGroup,dominantTermSource,totalSpecificTermsUsed,usesOwnGroupTerms,condition,nTermsFromA,nTermsFromB,nTermsFromC
01KJN6MMPQTMDYRN709DP5DSDA,page-B,0,01KJN79PCAAMFX7P2QF70Y3HJM,A,A,3,1,refer_separated,3,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page-B,0,01KJN79ZQD1E4YD03FE5CGJY8K,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page-B,0,01KJN7B4V2673GK7HGVSG52R2P,B,B,3,1,refer_separated,1,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page-B,1,01KJN77XQHYQ5TVVY4HZM02E7R,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page-B,1,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,C,1,0,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page-B,1,01KJN7AAWT4GWKRZ7B9775509P,B,B,2,1,refer_separated,0,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page-B,4,01KJN77XQHYQ5TVVY4HZM02E7R,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page-B,4,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,C,1,0,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page-B,4,01KJN7AAWT4GWKRZ7B9775509P,B,B,2,1,refer_separated,0,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,5,01KJN7931DXZ65NXTWK1GNEZMW,C,C,2,1,refer_separated,0,0,2
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,5,01KJN7B32C1C5254NSG6ZK1GRK,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,5,01KJN7BYA5X3A2G30KZECRY2HY,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,5,01KJN7931DXZ65NXTWK1GNEZMW,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,5,01KJN7B32C1C5254NSG6ZK1GRK,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,5,01KJN7BYA5X3A2G30KZECRY2HY,B,B,2,1,refer_separated,0,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,3,01KJN79PCAAMFX7P2QF70Y3HJM,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,3,01KJN79ZQD1E4YD03FE5CGJY8K,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,3,01KJN7B4V2673GK7HGVSG52R2P,B,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page-B,5,01KJN7931DXZ65NXTWK1GNEZMW,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page-B,5,01KJN7B32C1C5254NSG6ZK1GRK,A,C,1,0,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page-B,5,01KJN7BYA5X3A2G30KZECRY2HY,B,B,2,1,refer_separated,0,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,3,01KJN79PCAAMFX7P2QF70Y3HJM,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,3,01KJN79ZQD1E4YD03FE5CGJY8K,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,3,01KJN7B4V2673GK7HGVSG52R2P,B,B,2,1,refer_separated,0,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,5,01KJN7931DXZ65NXTWK1GNEZMW,C,C,2,1,refer_separated,0,0,2
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,5,01KJN7B32C1C5254NSG6ZK1GRK,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,5,01KJN7BYA5X3A2G30KZECRY2HY,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,3,01KJN79PCAAMFX7P2QF70Y3HJM,A,C,1,0,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,3,01KJN79ZQD1E4YD03FE5CGJY8K,C,A,1,0,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,3,01KJN7B4V2673GK7HGVSG52R2P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,5,01KJN7931DXZ65NXTWK1GNEZMW,C,C,2,1,refer_separated,0,0,2
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,5,01KJN7B32C1C5254NSG6ZK1GRK,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,5,01KJN7BYA5X3A2G30KZECRY2HY,B,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,3,01KJN79PCAAMFX7P2QF70Y3HJM,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,3,01KJN79ZQD1E4YD03FE5CGJY8K,C,C,2,1,refer_separated,0,0,2
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,3,01KJN7B4V2673GK7HGVSG52R2P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,5,01KJN7931DXZ65NXTWK1GNEZMW,C,C,3,1,refer_separated,0,0,3
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,5,01KJN7B32C1C5254NSG6ZK1GRK,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,5,01KJN7BYA5X3A2G30KZECRY2HY,B,B,2,1,refer_separated,0,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,3,01KJN79PCAAMFX7P2QF70Y3HJM,A,none,0,0,refer_separated,0,0,0
