gameId,playerId,playerName,originalGroup,currentGroup,role,blockNum,phase,phaseNum,target,clicked,clickedCorrect,roundScore,roundId,lateClick,clickedAt,tangramSelectedAt,selectionRenderedAt,socialGuessSelectedAt,selectionRt,socialGuessRt,timeout,lateSocialGuess,trialNum,reshuffleMode,tangramSet,selectionStartedAt,selectionEndedAt,selectionDurationMs,repNum,speakerId,inGroupSpeaker,groupSize,speakerReassigned,hasSpeakerMessage,responseOpportunity,serverSpeakerId,serverInGroupListener,serverGroupSize,reshuffleGroups,reshuffleTrios,reshuffleTriosOk,reshufflePairs,excluded,exclusionReason
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,Hera,B,B,listener,4.0,refgame,1.0,page-B,page4-15,False,0.0,01KJN7JJ1T0XBC815C25NRSF57,False,,,,,,,False,False,29.0,,0.0,1772388018523,1772388063879,45356,,01KJN792W85XPK9QGH8A6HSYSJ,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,Hera,B,B,speaker,3.0,refgame,1.0,page9-46,,,2.0,01KJN7JJ0PJYQE826DDQJJSWAF,False,,,,,,,False,False,19.0,,0.0,1772387541417,1772387574131,32714,2.0,01KJN7C40WEQBDF48ACG18M0EV,,3,False,True,False,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,Felu,C,C,listener,3.0,refgame,1.0,page5-28,page5-28,True,2.0,01KJN7JJ4ABAFV6YM5DS9T3RJP,False,,,,,,,False,False,22.0,,0.0,1772387701843,1772387743214,41371,,01KJN79J529BWBWTESKB6D9MB7,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN79ZDP3YNFFHHQA302PJDP,Nori,C,C,listener,4.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJN7K5KN8YW9VWX8RYNB7E0N,False,,,,,,,False,False,28.0,,0.0,1772388000797,1772388041511,40714,,01KJN796KT7FCNV2F9QNCQDSES,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,Repi,A,A,listener,5.0,refgame,1.0,page7-255,page7-255,True,2.0,01KJN7JJ1FP44XD8PJXNFE1281,False,,,,,,,False,False,34.0,,0.0,1772388219015,1772388247646,28631,,01KJN7AZC7FAG17CY924MRTCF7,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,Player,C,C,listener,2.0,refgame,2.0,page3-35,page3-35,True,2.0,01KJN7JJ106G1CY7M5WR0DQX8K,False,,,,,,,False,False,52.0,,0.0,1772388822410,1772388841310,18900,,01KJN78DQ6KC0F9N1HA0BPB44R,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,Zuda,B,B,speaker,4.0,refgame,1.0,page5-28,,,2.0,01KJN7K5KQ8WFY6EA4MTPDWMDN,False,,,,,,,False,False,27.0,,0.0,1772387967408,1772387993664,26256,2.0,01KJN788SPAKVVBHX9T9FDQWAF,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,Player,A,A,listener,0.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJN7K5JAKET26PNAKC1WNN1S,False,,,,,,,False,False,38.0,,0.0,1772388398504,1772388418620,20116,,01KJN78B0TFR8F59JDGD057XNS,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZQD1E4YD03FE5CGJY8K,Lika,C,C,listener,5.0,refgame,2.0,page-B,page-B,True,2.0,01KJN7KZ3D0HTVJZCVXH48W7YP,False,,,,,,,False,False,69.0,,0.0,1772388579779,1772388591448,11669,,01KJN7931DXZ65NXTWK1GNEZMW,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,Player,B,A,listener,3.0,refgame,2.0,page5-28,page5-28,True,2.0,01KJN7JJ1J5VMG06JVQK7ZJSB1,False,,,,,,,False,False,57.0,,0.0,1772388960182,1772388980183,20001,,01KJN7C40WEQBDF48ACG18M0EV,True,3,False,True,True,,,,,,,,False,
