gameId,roundId,blockNum,phase,phaseNum,target,group,senderId,senderName,senderRole,text,timestamp,trialNum,tangramSet
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBR8ZCV7RSYCY2M8G0Z,1.0,refgame,2.0,page-B,B,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,prayer,1772417968696,47.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBR8ZCV7RSYCY2M8G0Z,1.0,refgame,2.0,page-B,A,01KJP2RVD8SK7AN1X5EMGRM458,Player,speaker,praying dude,1772417971038,47.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBR8ZCV7RSYCY2M8G0Z,1.0,refgame,2.0,page-B,C,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,square and triangle falling off,1772417975221,47.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBR8ZCV7RSYCY2M8G0Z,1.0,refgame,2.0,page-B,B,01KJP2RBVR6E36EKC8HYRAV5GF,Player,listener,"Good to see you, that other player was....",1772417982202,47.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBR8ZCV7RSYDX6Q6Y1A,1.0,refgame,2.0,page5-28,C,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,whale,1772417901707,45.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBR8ZCV7RSYDX6Q6Y1A,1.0,refgame,2.0,page5-28,B,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,muffler so rectangle sideways,1772417906681,45.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBR8ZCV7RSYDX6Q6Y1A,1.0,refgame,2.0,page5-28,A,01KJP2RVD8SK7AN1X5EMGRM458,Player,speaker,cigarette coming out of right side of rectangle,1772417911700,45.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBS7SJQ0F7Z33HXTGTJ,1.0,refgame,2.0,page7-255,A,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,bunny,1772417838583,43.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBS7SJQ0F7Z33HXTGTJ,1.0,refgame,2.0,page7-255,C,01KJP2RVD8SK7AN1X5EMGRM458,Player,speaker,hooded dude jumping right,1772417840185,43.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBS7SJQ0F7Z33HXTGTJ,1.0,refgame,2.0,page7-255,B,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,bird flying with small triangle head on right,1772417846613,43.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBS7SJQ0F7Z43MYKRY0,1.0,refgame,2.0,page7-107,C,01KJP2RVD8SK7AN1X5EMGRM458,Player,speaker,asteroid,1772417801335,42.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBS7SJQ0F7Z43MYKRY0,1.0,refgame,2.0,page7-107,B,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,fire ball w diamond in the middle,1772417802855,42.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBS7SJQ0F7Z43MYKRY0,1.0,refgame,2.0,page7-107,A,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,white diamond missing from body,1772417805527,42.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBTAF42N8FWMHY0NA6A,0.0,refgame,2.0,page5-28,C,01KJP2Q4FMMNPG4DTS771Y4V70,Player,speaker,Whale with big rectangle,1772417767924,41.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBTAF42N8FWMHY0NA6A,0.0,refgame,2.0,page5-28,C,01KJP2Q4FMMNPG4DTS771Y4V70,Player,speaker,And tail pointing to right,1772417772238,41.0,0.0
